climate,inequality,human rights,gender,lgbtq,european union,immigration,health,misinformation,hate speech
66,66,58,20,28,47,51,46,40,50
21,22,38,40,74,62,41,36,64,51
68,60,44,58,38,42,58,50,34,74
21,51,55,40,64,37,41,45,47,49
49,51,38,54,38,25,48,30,52,90
21,55,55,44,38,44,47,50,37,51
69,55,58,27,28,35,40,49,46,74
71,41,44,58,44,32,53,57,40,42
21,55,55,58,74,42,37,36,51,49
49,51,44,54,74,62,76,81,42,76
51,51,58,70,38,53,68,48,50,49
49,36,38,54,44,42,27,48,45,37
66,55,55,58,44,53,40,54,64,38
21,51,44,54,38,42,48,55,50,48
51,41,14,58,28,48,25,39,56,90
73,83,37,60,64,62,51,43,57,51
73,41,37,44,80,48,37,36,72,49
51,80,44,69,64,37,25,54,58,49
51,51,37,58,74,62,68,33,42,51
51,19,58,51,74,53,57,64,66,38
73,41,55,19,28,62,41,41,42,51
49,36,44,44,64,62,25,57,46,44
21,51,55,20,74,53,41,36,45,51
49,55,44,83,44,42,56,90,71,49
68,60,44,80,44,48,56,22,55,87
49,19,37,40,38,48,68,57,63,44
74,51,44,27,28,42,48,44,71,49
73,55,14,62,74,62,51,57,38,48
71,37,44,54,80,42,53,38,36,79
70,41,55,16,38,62,47,55,31,49
51,22,44,40,80,35,56,44,39,49
68,41,58,58,74,53,58,41,62,51
51,41,37,58,44,62,25,41,47,49
49,80,38,54,44,47,48,44,40,44
51,37,58,60,64,42,48,36,56,30
74,70,58,19,28,48,53,54,37,40
21,51,44,60,80,48,30,54,58,44
51,60,58,69,28,37,25,43,54,44
51,22,58,83,74,44,47,81,57,51
21,55,44,16,44,62,40,49,57,48
49,41,44,51,44,62,53,47,40,74
21,55,58,58,28,53,56,35,34,44
73,55,58,19,74,53,56,37,55,44
49,51,55,44,28,62,41,60,52,82
71,51,37,54,38,25,41,38,38,44
21,55,58,58,80,41,51,50,38,49
49,41,44,40,44,62,40,40,36,50
88,80,58,58,74,48,68,46,38,44
21,60,44,51,64,62,40,41,66,51
74,41,44,62,80,48,58,71,45,49
49,55,37,20,44,37,58,45,51,51
49,39,38,16,80,44,56,68,47,51
21,36,44,58,38,53,76,54,47,38
49,51,14,16,38,53,41,55,47,38
51,51,38,58,64,35,30,60,45,84
51,36,55,83,44,62,56,41,46,51
21,41,44,53,74,53,25,68,48,44
66,80,38,80,44,44,47,59,47,90
51,41,44,58,38,41,51,59,38,48
66,55,14,69,28,37,41,39,34,37
21,70,14,54,44,48,27,59,36,38
49,80,55,83,64,62,48,35,42,44
21,41,44,54,44,53,76,36,48,48
21,51,37,70,74,35,30,35,47,70
49,51,58,40,44,62,76,57,58,40
71,19,14,58,28,37,30,47,36,43
21,51,58,54,38,44,51,43,40,51
21,22,44,62,80,42,48,90,34,41
73,51,58,40,44,44,76,50,57,51
49,41,55,70,28,62,68,49,40,51
51,36,44,19,38,62,53,43,80,38
51,83,44,16,38,32,41,60,58,33
21,70,44,44,44,42,47,60,48,43
66,55,44,54,44,48,68,44,55,82
21,37,55,70,38,42,53,44,47,38
21,41,44,58,28,48,48,53,40,83
49,83,55,58,44,41,57,71,34,43
49,55,14,40,74,53,68,55,57,90
49,41,38,58,28,25,58,50,46,81
73,41,58,51,28,48,53,59,55,49
51,55,37,19,74,53,30,49,41,27
51,41,44,58,74,62,48,59,52,42
66,55,58,44,64,62,25,44,38,84
21,41,58,40,80,44,58,36,31,33
49,60,38,62,80,25,40,81,66,51
51,41,37,70,28,53,40,73,73,82
21,66,37,44,64,25,48,48,50,36
51,41,44,19,44,62,76,47,51,79
51,37,58,19,28,42,57,38,49,36
21,55,37,62,28,62,47,49,40,36
21,51,55,19,44,42,68,43,57,82
21,55,44,54,38,25,53,55,36,82
66,39,58,40,28,42,68,44,69,38
21,37,44,58,38,62,48,43,42,36
49,55,44,58,80,48,53,49,55,51
21,41,55,20,74,25,30,55,47,50
49,22,44,54,80,44,47,41,62,50
70,39,37,60,44,35,27,59,40,48
49,55,14,80,44,42,68,50,48,44
49,51,38,58,44,53,76,30,39,51
69,36,37,58,80,62,53,43,57,51
21,80,44,51,44,48,47,36,80,49
21,41,55,80,44,42,48,49,62,25
51,51,55,58,80,37,30,54,47,51
73,55,37,44,44,53,37,60,45,77
66,37,38,27,28,62,76,36,33,51
51,51,55,58,38,48,47,57,38,36
66,55,44,40,28,41,68,37,72,49
21,19,37,60,44,42,48,35,57,82
88,39,44,66,64,41,41,64,38,49
49,51,44,69,44,48,57,81,47,42
70,83,44,58,44,41,56,54,62,34
70,55,44,58,80,42,76,49,47,83
21,55,55,58,28,47,47,48,45,77
49,55,44,70,80,62,51,43,45,62
70,55,38,58,38,37,37,81,38,42
49,70,55,58,64,42,47,29,38,51
49,66,55,51,44,62,48,53,34,51
66,60,58,69,44,62,40,33,57,44
51,66,14,58,44,42,53,51,42,83
21,55,44,69,38,32,68,55,62,51
21,41,55,20,38,53,40,57,40,49
21,55,55,54,44,48,53,22,54,62
21,37,37,51,44,53,68,43,37,51
74,55,37,19,44,62,76,54,67,51
66,39,14,58,74,53,58,59,41,87
21,22,44,40,64,47,47,71,55,49
51,41,55,58,44,53,25,46,63,36
68,55,55,19,64,62,37,55,33,48
21,51,38,58,74,53,68,54,59,51
51,55,55,40,74,62,48,59,34,49
49,37,44,58,44,53,41,55,58,51
66,55,44,58,44,42,76,38,40,82
66,51,55,58,64,53,76,49,34,51
51,55,37,27,44,41,76,53,47,42
88,55,44,83,64,48,76,40,57,49
73,80,55,58,28,47,51,44,51,44
51,55,44,27,28,47,57,71,40,87
21,41,44,16,80,48,57,55,33,50
51,66,14,58,38,53,51,90,38,35
51,39,44,40,44,62,56,54,66,37
51,19,58,20,28,47,68,33,47,48
88,51,14,27,74,62,40,43,47,38
49,37,58,20,28,62,25,38,47,38
51,51,55,58,74,41,27,36,48,50
51,37,38,51,74,35,30,36,59,49
66,41,44,60,44,53,41,50,56,49
71,19,58,51,44,48,48,47,56,44
21,19,14,58,44,48,68,44,34,51
51,80,44,66,28,25,40,45,46,49
51,80,55,83,64,48,25,36,66,70
51,55,44,58,44,53,30,60,54,44
49,80,37,54,80,48,57,50,55,33
51,41,44,58,74,25,51,71,36,90
49,51,44,54,44,47,53,53,57,82
66,83,44,40,74,62,47,45,41,82
51,39,44,16,44,62,40,54,41,50
21,36,55,40,38,35,48,50,39,49
66,36,37,54,44,44,41,47,46,41
51,51,58,80,44,62,37,46,40,84
70,41,58,54,38,48,41,36,69,90
51,55,58,58,44,47,41,48,45,38
21,51,14,16,80,37,51,48,31,49
70,55,55,40,44,35,25,85,41,84
49,41,38,58,28,32,51,48,42,51
21,55,44,54,74,62,37,30,38,42
51,41,58,40,38,32,48,90,40,27
68,22,38,62,44,53,57,50,45,42
51,83,38,64,74,47,51,41,47,51
51,39,38,19,44,41,41,41,34,51
49,70,37,54,80,47,53,44,47,43
51,36,44,40,80,48,48,43,36,77
21,55,44,44,64,35,51,50,42,49
49,41,44,64,64,41,53,49,51,27
71,41,44,80,44,48,40,55,36,32
73,80,58,54,74,48,25,55,47,40
49,55,44,54,44,42,68,48,69,48
21,55,44,58,80,44,37,50,22,51
21,51,14,40,44,62,48,41,36,90
51,60,58,27,74,25,37,44,80,35
49,83,37,80,44,48,40,67,52,37
49,66,37,51,64,32,51,72,46,50
69,19,58,60,28,42,68,40,46,27
21,51,38,53,44,32,56,41,49,49
21,41,14,54,44,41,57,37,38,44
71,55,44,16,44,48,76,54,66,49
51,83,44,58,74,48,40,49,46,35
51,80,58,40,44,53,37,41,57,42
21,51,55,54,80,37,40,44,38,41
49,60,58,27,44,32,53,54,31,70
73,55,44,54,28,62,68,37,38,34
21,41,44,58,64,25,51,55,36,49
49,51,55,54,28,62,27,49,62,48
51,51,58,20,28,44,47,44,55,50
51,36,44,60,44,48,51,43,64,51
21,41,44,69,44,53,53,50,64,51
66,41,37,54,38,53,58,49,47,70
21,41,55,54,44,53,58,48,58,40
51,22,44,54,38,42,48,48,38,36
88,55,44,19,64,48,57,43,69,81
21,55,44,16,28,53,47,50,38,49
51,55,44,58,44,53,53,55,61,43
49,55,37,27,44,47,30,72,69,44
49,41,44,44,28,48,41,43,54,34
49,41,44,80,80,41,25,60,80,38
49,39,38,66,38,62,37,90,51,38
88,51,38,40,74,62,57,64,40,38
51,19,37,54,74,62,51,81,45,76
49,41,55,20,44,62,40,41,73,49
51,39,58,53,28,35,47,43,40,51
21,51,44,60,28,37,48,55,36,37
74,55,14,58,38,53,47,29,40,42
51,41,58,20,80,62,40,54,50,77
70,55,38,40,74,53,27,38,47,38
21,51,58,53,64,53,76,59,47,39
51,55,44,53,44,62,25,44,38,81
21,60,44,70,44,42,76,54,58,51
49,37,44,54,28,48,27,71,48,40
88,66,55,27,44,62,57,60,45,51
69,55,55,54,28,42,37,43,56,81
49,41,38,83,44,32,40,47,46,50
51,83,58,54,44,48,51,41,38,49
51,51,14,40,28,44,51,60,51,87
51,83,44,66,44,42,30,71,45,50
51,51,55,54,28,44,47,54,57,51
51,39,44,54,80,44,30,51,47,48
66,22,37,19,28,44,25,55,39,37
68,41,14,40,80,35,53,54,72,42
66,55,14,83,44,53,53,47,34,49
49,51,44,27,64,41,51,85,59,49
66,41,38,40,44,53,58,67,48,51
49,37,58,20,44,53,53,39,51,81
71,55,55,27,44,62,76,43,42,48
51,41,55,58,28,48,53,81,64,43
51,41,37,53,74,53,41,55,42,33
21,80,44,58,28,62,40,41,45,50
88,39,58,58,64,37,58,72,41,51
21,41,55,27,28,62,56,48,34,43
88,41,44,44,44,32,53,34,57,48
51,55,38,58,38,41,37,81,62,42
21,41,44,67,80,62,27,55,38,40
88,55,14,16,38,62,40,41,67,48
49,55,14,58,28,48,68,57,50,50
51,55,44,40,28,41,53,50,46,41
66,51,38,51,44,47,76,30,83,50
21,41,55,54,64,53,76,36,61,48
21,41,37,54,28,62,30,49,45,50
49,51,55,16,80,37,68,33,68,48
49,66,44,70,28,25,76,54,40,51
51,51,37,70,44,42,58,46,39,83
49,55,44,40,38,42,58,44,57,48
21,37,58,20,28,42,68,67,58,84
51,41,37,62,74,53,27,59,38,38
73,55,58,51,74,44,53,49,42,51
21,36,55,19,38,53,37,38,36,36
73,41,58,58,38,41,47,72,42,42
49,36,55,58,28,47,37,64,45,50
68,70,44,58,44,62,68,71,55,40
71,55,44,58,64,62,56,55,64,44
51,51,44,19,74,53,27,54,36,33
49,66,58,58,64,53,25,35,34,36
66,80,38,16,38,35,76,49,40,50
51,51,37,66,28,62,58,48,45,42
21,22,38,40,44,44,47,55,47,49
21,22,14,44,74,62,27,43,34,48
49,37,14,58,44,25,56,36,57,87
49,41,14,44,44,53,56,43,61,49
69,80,38,44,64,44,41,30,66,27
51,51,37,53,38,48,41,44,40,49
21,80,44,58,44,47,48,36,67,48
51,39,58,16,44,35,27,50,55,43
74,55,44,58,44,32,40,51,55,36
21,55,38,19,38,32,58,49,36,90
21,41,44,40,44,32,48,41,83,40
21,51,14,58,44,62,68,73,40,49
49,55,58,44,80,53,68,53,51,36
69,39,44,58,80,48,27,50,62,41
49,55,44,58,38,62,41,55,42,42
21,70,44,58,64,25,68,55,61,51
21,83,44,58,28,47,68,45,57,37
51,55,37,53,28,53,41,50,51,49
51,55,58,44,44,62,30,53,48,41
49,80,37,20,28,53,47,41,40,49
51,51,58,69,28,62,40,50,56,35
21,51,58,60,64,53,53,81,40,38
68,41,58,16,74,32,30,50,67,84
21,51,44,40,38,53,51,49,69,48
51,41,38,19,44,53,41,49,52,38
21,55,55,54,28,42,48,43,36,77
51,39,44,40,64,48,68,57,38,49
51,39,38,16,80,42,76,46,42,49
49,55,37,16,64,32,51,55,46,49
21,41,58,54,44,41,47,34,51,40
21,55,44,70,38,48,53,49,47,49
66,37,38,16,44,53,40,53,46,42
21,51,38,44,38,62,56,43,51,38
21,41,38,58,80,41,48,54,50,82
21,41,55,58,80,62,30,41,42,43
49,41,44,60,80,37,41,54,42,51
21,39,38,40,44,35,47,36,61,38
21,36,44,60,44,62,27,50,45,51
66,55,44,20,74,53,51,55,61,82
74,66,58,51,74,53,41,68,55,43
71,41,58,44,44,41,58,35,55,51
49,41,44,66,80,53,68,29,36,38
51,51,58,51,44,32,51,54,36,51
49,39,44,54,74,48,48,67,64,48
51,83,55,58,64,35,37,54,46,62
73,41,37,58,80,47,40,55,52,49
69,51,14,58,28,48,68,55,50,38
88,22,14,58,80,41,53,50,38,50
51,51,55,60,28,53,56,43,67,38
21,60,58,54,38,37,68,55,57,42
51,36,38,60,74,44,57,44,34,51
51,19,55,58,38,48,56,40,40,51
69,51,55,62,64,42,58,67,34,87
49,36,44,58,64,53,57,81,55,42
49,51,44,62,38,62,58,60,59,51
51,55,38,64,80,53,25,49,37,51
51,51,58,51,44,44,47,48,31,48
21,51,38,58,44,53,51,44,33,49
49,51,38,44,44,53,47,50,62,51
51,51,44,40,64,62,48,50,46,51
21,51,14,27,44,53,41,50,37,37
51,83,58,58,64,44,30,50,50,48
66,36,44,66,44,48,68,35,36,82
51,70,44,60,44,53,40,60,34,51
21,80,58,58,64,25,68,37,52,36
49,41,44,80,64,53,76,57,40,51
21,55,44,58,80,35,53,54,51,51
51,41,37,40,38,62,48,57,47,42
66,51,55,83,28,53,41,35,46,51
21,55,44,44,44,42,53,54,40,90
21,60,44,54,28,48,57,53,57,44
49,55,14,40,44,53,58,54,62,90
21,37,38,54,38,53,48,49,51,82
49,39,44,66,28,35,37,46,52,69
71,39,55,54,38,44,40,57,50,43
21,51,44,69,44,25,57,53,36,34
49,55,37,69,28,25,57,55,36,27
51,80,58,70,28,62,30,45,62,51
51,66,44,69,44,53,53,55,50,36
49,55,58,20,28,42,41,48,40,44
49,55,38,51,28,41,68,90,57,42
66,37,44,67,44,48,41,55,45,37
51,55,58,40,38,53,48,43,40,38
49,70,14,58,80,25,40,44,45,51
21,80,37,58,64,35,27,47,57,44
49,70,44,16,44,62,47,30,42,35
69,41,44,20,44,35,27,49,69,43
21,70,44,27,44,44,58,55,66,90
49,51,38,44,38,53,47,54,41,69
49,41,44,58,44,47,51,48,58,43
51,70,44,40,28,53,57,46,55,36
51,55,44,27,80,53,76,38,56,50
88,51,44,58,38,32,58,36,62,25
49,51,44,54,44,62,41,49,63,50
21,37,37,67,28,53,57,38,39,49
51,37,58,44,44,62,25,36,41,51
51,51,44,58,80,48,47,71,40,50
21,55,38,53,44,42,37,43,45,44
66,55,44,40,28,62,47,50,49,87
51,66,58,27,74,62,57,53,57,51
74,51,38,40,38,62,58,30,55,36
21,51,58,58,80,37,76,43,54,49
49,51,55,62,44,42,47,53,38,51
69,22,55,19,74,44,41,53,40,43
66,39,44,40,38,37,41,50,51,51
49,41,37,51,44,48,40,54,36,49
66,51,55,58,80,53,48,53,47,84
69,41,14,54,38,62,53,35,52,49
21,55,44,58,44,41,41,55,50,48
68,36,44,54,74,44,40,48,73,42
49,41,58,44,64,62,40,41,69,25
51,41,58,40,64,44,47,71,36,51
21,51,37,27,28,53,53,73,33,51
66,19,55,40,80,44,57,41,58,42
49,51,44,20,28,62,76,44,36,76
51,60,14,60,80,32,51,67,34,42
21,19,58,64,38,44,41,50,51,51
21,60,14,19,38,32,48,34,40,51
73,55,55,54,28,48,30,36,50,84
49,41,38,64,44,25,57,35,57,48
49,51,55,40,28,41,48,46,41,82
49,19,58,53,44,35,68,30,40,34
21,51,38,58,38,32,48,71,51,49
73,51,44,19,44,44,76,44,56,51
69,51,44,44,44,62,58,55,51,39
51,51,14,16,28,35,76,54,58,35
51,36,55,58,74,53,48,57,51,42
49,51,58,40,80,53,47,53,40,50
49,39,44,67,28,42,47,55,47,39
51,66,44,60,38,53,68,49,57,90
51,51,44,58,44,48,76,60,40,51
51,41,58,54,38,35,53,57,52,36
21,41,38,44,64,53,51,49,61,51
51,41,44,27,28,53,47,44,40,62
51,55,14,44,44,35,68,55,50,51
88,41,38,80,44,42,41,41,31,84
73,41,58,19,80,32,53,44,59,44
49,37,37,20,28,25,30,55,38,42
51,55,44,58,38,53,47,36,36,81
51,51,44,58,74,62,48,54,34,51
51,83,44,58,44,42,57,47,46,49
51,55,58,51,44,62,40,57,57,37
68,51,14,70,28,48,57,55,51,62
51,41,14,58,64,47,47,60,42,84
66,80,55,64,38,44,47,60,36,34
51,51,55,53,44,35,30,55,38,44
70,39,44,16,64,48,47,53,34,62
88,51,37,64,38,44,25,41,64,49
74,66,44,66,44,62,53,46,38,49
51,39,14,54,38,35,68,60,42,48
51,70,37,54,64,32,48,51,42,44
49,36,38,40,44,62,51,47,42,83
21,51,38,20,80,53,56,57,33,49
51,41,44,16,44,53,25,43,40,62
49,55,38,58,44,53,76,55,38,41
21,55,14,40,64,25,47,49,33,35
51,55,58,54,80,42,53,43,69,49
51,70,38,54,44,37,27,47,42,25
49,55,55,58,44,25,30,53,37,42
70,80,38,54,38,37,68,48,61,39
74,39,37,51,74,62,68,64,42,38
69,55,38,54,74,62,41,44,57,82
73,70,58,44,44,41,27,54,48,44
49,51,58,54,38,62,41,22,59,62
49,80,44,58,74,53,58,72,48,38
71,80,14,58,74,48,51,29,36,51
51,41,44,40,80,32,30,60,46,51
69,60,37,80,44,25,37,50,56,82
49,55,58,16,74,35,56,43,37,40
51,55,44,44,28,53,41,44,45,90
49,22,55,58,44,48,76,40,71,42
51,55,44,51,64,53,48,30,51,41
21,39,44,27,64,48,57,85,42,50
49,37,44,54,38,62,47,54,31,36
51,51,44,58,44,53,40,55,48,49
49,19,37,20,44,62,47,55,63,82
51,66,37,62,74,62,51,55,38,37
51,41,44,58,38,32,51,55,51,51
49,83,55,83,64,48,57,81,37,44
49,51,38,83,80,47,58,85,52,76
21,36,38,67,80,62,37,47,59,51
21,55,44,58,44,53,68,60,80,49
49,55,14,60,38,62,51,45,40,90
21,36,58,40,28,53,47,45,48,36
21,22,55,54,44,44,51,55,67,51
51,55,55,20,64,48,37,55,51,81
66,41,58,54,74,41,48,48,41,51
51,41,38,54,44,47,57,22,47,90
49,60,38,60,80,42,40,57,38,44
51,51,14,20,80,47,48,57,40,51
49,22,58,44,28,42,48,48,47,49
51,83,44,51,74,53,48,41,42,48
21,36,38,60,64,42,40,55,66,77
51,22,44,19,44,62,41,64,40,50
21,37,44,51,38,62,25,43,48,37
21,51,38,54,44,53,57,55,67,38
51,36,58,27,28,48,57,85,45,37
70,37,44,58,38,53,57,48,66,51
21,41,58,60,44,53,27,34,55,51
49,55,38,54,74,53,51,48,42,51
21,41,58,27,38,44,53,47,22,34
49,70,55,83,28,53,56,43,40,44
49,55,37,16,38,62,53,72,58,41
21,41,38,51,38,47,76,50,57,42
68,51,58,58,74,42,41,71,57,49
51,83,44,67,74,53,41,55,51,49
21,55,44,16,44,41,56,43,38,49
49,37,55,60,44,42,76,36,22,51
51,55,44,54,80,53,40,50,47,51
21,55,37,44,64,42,48,71,40,34
51,41,44,80,80,53,76,60,34,51
21,66,37,58,44,62,41,59,50,49
51,55,44,40,44,32,47,41,47,69
49,37,58,40,64,41,40,43,76,42
49,80,37,58,28,48,40,48,67,34
21,51,14,44,44,62,76,85,45,51
21,41,14,53,74,35,56,81,37,41
70,19,37,54,44,47,58,90,55,44
68,60,38,58,64,53,53,53,67,77
49,36,55,27,44,62,30,55,50,51
21,51,44,66,28,48,76,49,64,48
88,55,44,54,44,62,58,54,51,51
49,37,55,16,74,41,53,48,67,44
49,22,14,69,38,62,47,50,52,77
49,51,55,60,44,25,76,27,47,39
51,22,14,54,38,42,57,53,48,50
49,41,38,54,80,53,47,35,42,51
69,51,44,40,38,48,68,47,62,42
21,83,37,40,28,48,25,41,67,36
88,60,38,51,64,44,47,38,36,38
68,60,44,44,44,25,57,43,67,51
51,41,58,44,44,41,51,55,59,42
74,80,44,58,38,53,76,40,51,49
21,55,38,44,80,47,41,55,63,48
51,51,44,16,44,62,51,60,22,42
49,70,44,19,64,48,53,60,47,41
49,66,44,54,28,37,30,40,42,34
51,41,55,16,38,44,37,38,57,49
51,37,58,20,44,48,56,73,36,69
21,51,44,58,44,53,51,43,48,51
70,51,14,58,44,53,40,60,49,50
51,41,44,66,44,53,48,38,54,37
49,80,55,69,64,41,37,55,63,62
21,51,44,54,38,53,40,41,72,48
49,83,58,66,38,53,53,38,47,51
49,22,14,54,64,44,56,47,38,51
49,60,58,40,38,41,76,53,36,49
70,55,44,40,28,62,53,51,46,50
51,66,38,20,38,44,56,48,50,38
88,55,37,69,28,42,30,41,55,42
49,80,58,64,38,25,51,39,40,36
21,41,58,58,74,53,40,36,34,50
49,55,58,27,74,47,47,55,38,34
88,80,44,40,44,62,68,48,42,42
51,55,38,54,74,62,57,36,39,51
21,60,37,27,44,62,30,60,47,38
21,55,44,44,74,37,68,36,40,42
49,66,58,27,64,48,25,36,73,69
21,55,55,16,38,42,40,33,49,35
51,51,44,20,44,41,27,37,42,51
51,55,55,16,44,32,47,57,57,51
51,41,14,40,44,44,56,41,40,82
51,60,37,54,74,48,41,54,40,43
51,51,58,66,38,44,40,53,66,62
51,70,58,44,44,32,40,47,50,43
66,36,58,58,44,48,41,48,48,51
49,37,44,58,28,62,48,72,72,40
49,19,44,40,64,37,53,39,47,49
49,51,38,58,44,41,68,49,57,49
49,41,14,58,80,47,41,35,71,62
73,55,58,27,38,32,68,50,40,38
51,51,58,40,44,41,48,49,56,40
21,55,55,60,28,35,41,45,58,87
51,60,37,58,28,62,41,55,57,33
73,22,44,53,44,35,68,59,50,40
70,41,44,58,28,48,57,45,57,43
51,83,55,60,64,47,51,55,40,62
69,39,55,40,80,48,48,44,58,42
74,55,44,40,28,47,25,43,34,41
51,41,38,20,44,48,76,55,66,49
51,66,14,58,64,53,47,44,50,49
49,70,38,40,64,53,41,55,57,44
21,51,38,16,44,44,30,59,51,30
21,80,44,62,44,62,53,55,46,42
49,70,58,58,44,48,41,43,66,50
68,55,58,40,64,32,51,36,42,70
49,51,58,16,28,62,53,55,37,38
51,51,44,53,44,48,47,45,46,38
66,37,37,58,44,62,48,47,42,34
21,60,38,40,38,62,48,41,40,81
70,51,44,19,74,62,25,59,42,38
21,55,55,58,74,48,53,85,58,50
51,80,14,69,44,42,53,33,46,48
21,51,38,54,44,48,41,47,42,50
49,70,38,20,74,44,76,50,40,51
51,55,38,44,28,62,53,85,42,51
51,51,44,16,38,62,41,49,57,49
21,55,44,54,74,42,51,44,38,50
51,41,14,66,28,53,40,38,62,36
49,41,44,54,80,53,57,50,39,48
49,51,44,20,44,53,48,55,40,49
21,41,44,58,44,48,53,35,62,62
51,19,55,66,44,62,48,40,57,36
51,41,44,40,44,48,58,51,22,49
69,60,37,58,38,53,40,59,57,42
66,51,44,27,44,44,41,81,57,42
73,55,44,16,38,53,48,47,33,51
49,55,55,40,38,37,41,36,33,48
49,37,38,53,64,53,41,43,38,44
49,41,55,67,44,53,56,41,51,38
51,39,55,58,44,53,68,22,52,44
51,22,38,58,28,62,25,40,45,76
51,41,14,40,28,44,27,53,34,49
49,41,44,66,28,62,53,53,46,42
51,60,37,54,44,41,41,43,46,51
21,55,14,66,38,62,25,60,36,51
51,41,44,53,44,53,53,53,67,87
49,55,37,67,44,53,47,44,59,50
21,66,58,54,80,62,68,60,63,51
69,51,37,58,28,48,51,36,55,49
74,60,44,19,38,44,25,53,57,74
49,51,37,54,64,41,30,57,39,62
66,55,44,51,44,48,25,60,48,35
49,22,58,19,38,41,30,45,57,49
49,22,44,58,44,48,48,40,46,30
51,41,44,60,74,62,37,57,40,51
49,41,44,66,38,42,40,53,40,87
51,51,44,40,64,47,41,54,52,27
51,51,44,51,44,47,47,38,45,48
21,41,55,66,38,53,41,55,33,87
51,41,44,54,28,62,51,60,46,39
51,66,58,19,64,62,56,72,51,51
66,83,44,53,44,42,48,30,48,49
21,70,38,19,64,48,30,41,57,49
21,83,58,66,64,53,40,43,63,49
51,55,58,20,74,53,48,38,34,51
51,41,37,19,38,53,48,43,42,41
88,22,55,58,44,53,47,57,73,51
51,41,14,20,38,62,51,67,47,43
21,41,55,69,28,48,51,54,42,42
66,55,58,54,44,62,40,45,40,51
68,37,14,16,38,37,47,55,38,49
51,41,44,44,64,53,47,48,57,49
49,51,44,54,44,44,57,30,57,41
21,55,44,20,38,53,53,54,50,40
51,41,14,20,44,48,51,27,46,40
49,60,14,40,74,62,47,55,47,34
21,60,55,40,64,47,53,53,48,34
21,37,58,70,64,41,30,33,31,43
66,55,37,70,44,53,40,36,72,44
51,70,44,58,38,37,30,47,59,49
71,55,44,58,44,44,53,60,41,43
71,80,38,53,44,62,40,40,47,50
73,51,38,67,28,62,40,47,40,38
70,51,37,19,44,53,27,90,39,51
88,55,38,53,74,41,56,90,52,44
66,55,44,27,64,47,76,46,42,49
66,55,44,54,44,62,41,60,46,42
21,41,55,40,44,53,76,64,57,43
71,41,44,40,38,44,56,55,45,43
49,41,44,58,64,48,48,49,50,51
69,51,14,70,28,35,30,38,55,70
51,41,38,54,28,62,27,73,40,49
68,51,44,44,44,53,58,43,69,82
66,55,37,20,80,42,53,60,55,49
49,51,44,53,28,42,51,34,40,51
49,70,38,40,64,53,58,36,39,41
51,51,14,40,44,44,56,72,42,34
51,41,38,66,28,41,47,50,42,38
70,19,58,53,64,53,53,41,36,43
21,66,44,20,80,41,58,51,34,25
66,51,55,54,44,44,30,47,40,43
49,51,55,44,28,32,30,55,57,37
21,51,14,66,44,53,76,81,57,39
21,36,55,44,28,62,76,54,57,43
51,41,55,19,64,32,37,43,83,30
88,55,44,54,44,53,47,22,33,76
68,83,37,54,44,41,56,49,38,42
21,55,44,58,44,25,48,48,47,38
49,41,44,40,74,53,56,36,62,37
51,60,14,54,64,62,68,48,47,33
21,55,38,54,80,53,57,45,57,42
49,19,37,58,44,35,25,73,47,48
21,36,44,58,44,48,40,55,67,50
49,51,37,60,38,62,40,45,52,69
51,55,37,16,38,53,57,60,67,49
21,80,58,70,44,62,47,57,48,50
51,37,55,83,64,48,25,35,50,38
71,55,55,62,44,48,58,53,45,51
70,22,44,70,28,62,68,43,51,90
49,51,44,40,38,48,51,68,73,42
51,36,37,66,44,25,41,47,57,40
51,19,44,40,38,62,40,50,45,34
51,51,44,58,64,47,53,41,42,51
71,19,58,19,28,48,48,55,40,50
21,41,44,19,38,48,48,90,36,49
51,55,58,66,44,53,53,44,45,48
21,66,37,20,74,62,25,45,57,38
49,51,58,40,64,53,53,38,51,50
51,36,44,40,64,42,51,33,55,42
21,51,44,58,28,53,41,41,41,42
49,22,37,40,64,53,51,41,37,82
49,51,14,51,44,32,76,44,50,84
21,41,14,40,74,48,53,59,47,90
51,51,44,54,28,41,48,39,51,48
49,51,55,27,28,25,47,49,64,49
70,41,14,58,64,41,40,54,50,49
70,51,58,40,44,62,53,48,40,70
21,37,14,54,38,41,51,49,38,51
21,41,44,54,64,62,37,55,38,48
51,41,44,66,74,62,53,29,46,48
49,41,58,40,38,53,51,50,47,37
71,41,44,51,44,32,25,47,67,49
49,51,44,44,44,41,48,48,66,51
51,22,44,51,80,44,57,43,62,43
66,37,44,70,74,62,41,47,40,49
21,22,58,40,44,41,53,38,51,41
51,41,44,58,74,53,25,71,34,87
21,80,44,20,44,62,76,43,41,62
74,51,44,58,80,32,40,71,71,49
70,41,38,54,44,48,76,59,57,82
49,55,44,40,38,48,47,41,51,50
73,51,55,44,74,25,57,36,47,42
51,80,44,58,44,44,68,43,34,36
66,51,44,54,28,48,53,53,62,48
21,41,58,40,38,53,68,64,71,38
70,66,44,27,64,53,30,57,64,51
73,80,37,80,38,48,37,41,40,49
73,51,44,58,80,62,68,53,42,48
66,51,44,80,64,62,53,54,50,76
66,55,14,51,28,37,68,43,51,50
21,51,38,64,38,48,53,54,54,48
66,39,44,44,80,32,48,54,45,81
51,36,14,58,80,53,57,55,48,84
51,55,44,27,28,53,76,47,55,49
